dataset,row_count,unique_cases,case_id_basis,column,inferred_meaning,null_ratio,unique_values,duplicate_rows,format_guess,sample_values,has_split_field
original,1875,1875,note_id,text,free-text 临床文本字段,0.0,1875,0,semicolon separated string,"[""Name: ___ Unit No: ___ Admission Date: ___ Discharge Date: ___ Date of Birth: ___ Sex: M Service: ME"", ""Name: ___ Unit No: ___ Admission Date: ___ Discharge Date: ___ Date of Birth: ___ Sex: M Service: ME"", ""Name: ___ Unit No: ___ Admission Date: ___ Discharge Date: ___ Date of Birth: ___ Sex: M Service: ME"", ""Name: ___ Unit No: ___ Admission Date: ___ Discharge Date: ___ Date of Birth: ___ Sex: M Service: ME"", ""Name: ___ Unit No: ___ Admission Date: ___ Discharge Date: ___ Date of Birth: ___ Sex: F Service: ME""]",False
original,1875,1875,note_id,icd_code,ICD code 字段,0.0,515,0,Python literal list,"[""['I27.2', 'R65.2', 'K83.0', 'I89.0', 'D72.8', 'L98.2', 'K75.8', 'I82.8', 'D68.4', 'M79.8', 'D47.1', "", ""['I27.2', 'R65.2', 'K83.0', 'I89.0', 'D72.8', 'L98.2', 'K75.8', 'I82.8', 'D68.4', 'M79.8', 'D47.1', "", ""['I27.2', 'R65.2', 'K83.0', 'I89.0', 'D72.8', 'L98.2', 'K75.8', 'I82.8', 'D68.4', 'M79.8', 'D47.1', "", ""['I27.2', 'R65.2', 'K83.0', 'I89.0', 'D72.8', 'L98.2', 'K75.8', 'I82.8', 'D68.4', 'M79.8', 'D47.1', "", ""['D47.3', 'E27.4', 'E83.3', 'I27.2', 'E83.4', 'E83.5', 'E78.0', 'M85.8', 'K52.8', 'E27.2', 'E27.1']""]",False
original,1875,1875,note_id,diagnosis,disease label/name 字段,0.0,1770,0,single string,"[""PRIMARY DIAGNOSIS ETOH CIRRHOSIS with grade II EV SECONDARY DIAGNOSIS ESSENTIAL THROMBOCYTOSIS MYELO"", ""Primary Diagnoses Hepatic pseudoaneurysm Cholangitis Secondary Diagnoses Alcoholic cirrhosis Myelofi"", ""Primary: intra-hepatic pseudo aneurysm alcohol cirrhosis grade II EV s/p banding ___ Myelofibrosis ("", ""PRIMARY: Cellulitis Acute kidney injury Alcoholic cirrhosis SECONDARY: Primary Myelofibrosis with JA"", ""Primary: Viral Gastroenteritis . Secondary: Addison's Disease Lumbosacral spondolithesis Anemia""]",False
original,1875,1875,note_id,phenotype,无法确认,0.0,1874,0,comma separated string,"[""Portal hypertension, Esophageal varices, Splenic infarction, Thrombocytosis, Myelofibrosis, Thrombus"", ""Abdominal pain, Melena, Portal hypertension, Splenic vein thrombosis, Thrombosis, Hepatic pseudoaneu"", ""Hepatic cirrhosis, Myelofibrosis, Thrombosis, Confusion, Forgetfulness, Asterixis, Elevated transami"", ""Myelofibrosis, JAK2 mutation, Obesity, Alcoholic cirrhosis, Hypertension, Hyperlipidemia, Obstructiv"", ""Nausea, Vomiting, Fatigue, Back pain, Dizziness, Weakness, Addison, Hypothyroidism, Microscopic coli""]",False
original,1875,1875,note_id,rare,disease label/name 字段,0.0,1002,0,Python literal list,"[""['Myelofibrosis']"", ""['Hepatic pseudoaneurysm', 'Myelofibrosis']"", ""['Myelofibrosis']"", ""['Primary Myelofibrosis']"", ""['Addisons Disease']""]",False
original,1875,1875,note_id,embedding,embedding / 向量字段,0.0,1874,0,single string,"[""[-0.06217085 -0.01285933 0.05575861 ... 0.02016603 0.00222454 -0.00769004]"", ""[-0.05957382 -0.00689883 0.07522137 ... 0.0171204 -0.00726409 0.00580892]"", ""[-0.02420621 0.01487083 0.04900226 ... 0.01702602 -0.0210982 0.00380562]"", ""[-2.54288595e-02 -7.48187376e-05 5.30119129e-02 ... 1.40373856e-02 2.06346056e-04 5.82451979e-03]"", ""[ 0.00889608 0.00867368 0.06464484 ... 0.03510529 -0.01740438 -0.01341255]""]",False
original,1875,1875,note_id,note_id,note_id ID 字段,0.0,1875,0,single string,"[""18132708-DS-16"", ""18132708-DS-17"", ""18132708-DS-18"", ""18132708-DS-19"", ""18136887-DS-38""]",False
original,1875,1875,note_id,orpha,ORPHA disease ID/name 字段,0.0,469,0,Python literal list,"[""['ORPHA:824']"", ""['ORPHA:824']"", ""['ORPHA:824']"", ""['ORPHA:824']"", ""['ORPHA:85138']""]",False
original,1875,1875,note_id,orpha_names,ORPHA disease ID/name 字段,0.0,469,0,Python literal list,"[""['Primary myelofibrosis']"", ""['Primary myelofibrosis']"", ""['Primary myelofibrosis']"", ""['Primary myelofibrosis']"", ""['Addison disease']""]",False
original,1875,1875,note_id,HPO,HPO phenotype 字段,0.0,1862,0,Python literal list,"[""['HP:0001409', 'HP:0000819', 'HP:0003077', 'HP:0012622', 'HP:0002027', 'HP:0002040', 'HP:0011974', '"", ""['HP:0001409', 'HP:0002249', 'HP:0030955', 'HP:0002027', 'HP:0002870', 'HP:0001977', 'HP:0000822', '"", ""['HP:0011974', 'HP:0002354', 'HP:0033149', 'HP:0012439', 'HP:0012164', 'HP:0001977', 'HP:0034336', '"", ""['HP:0003077', 'HP:0012622', 'HP:0001945', 'HP:0003270', 'HP:0002240', 'HP:0011974', 'HP:0002870', '"", ""['HP:0002013', 'HP:0002018', 'HP:0033675', 'HP:0001903', 'HP:0002758', 'HP:0000821', 'HP:0001733', '""]",False
cleaned,21749,1873,case_id,case_id,case_id 字段,0.0,1873,0,single string,"[""case_1"", ""case_1"", ""case_1"", ""case_1"", ""case_1""]",False
cleaned,21749,1873,case_id,mondo_label,MONDO disease ID / gold label 字段,0.0,353,0,single string,"[""MONDO:0009692"", ""MONDO:0009692"", ""MONDO:0009692"", ""MONDO:0009692"", ""MONDO:0009692""]",False
cleaned,21749,1873,case_id,hpo_id,HPO phenotype 字段,0.0,1500,0,single string,"[""HP:0001409"", ""HP:0000819"", ""HP:0003077"", ""HP:0012622"", ""HP:0002027""]",False
