old_mondo_id,old_label,is_obsolete,replaced_by_mondo_id,replaced_by_label,consider_mondo_ids,in_v59,provided_name,final_recommendation,rag_strategy,exact_eval_strategy,relaxed_eval_strategy,source_name,source_url,notes
MONDO:0012233,obsolete Li-Fraumeni syndrome 2,True,,,MONDO:0018875,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015192,obsolete unclassified intestinal pseudoobstruction,True,,,MONDO:0017574,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015305,obsolete rare endometriosis,True,,,MONDO:0005133,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015343,obsolete secondary acute transverse myelitis,True,,,MONDO:0015342,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015488,obsolete predominantly large-vessel vasculitis,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015490,obsolete predominantly small-vessel vasculitis,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015683,obsolete primary malignant peritoneal tumor,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015897,obsolete rare hyperparathyroidism,True,MONDO:0001741,hyperparathyroidism,,True,NOT_FOUND,map_for_rag_and_relaxed_eval_keep_original_for_exact_eval,expand retrieval with replaced_by MONDO while retaining original v59 ID,keep original v59 MONDO ID for exact evaluation,count replacement hit only in separately reported relaxed evaluation,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0015928,obsolete secondary interstitial lung disease in childhood and adulthood associated with a connective tissue disease,True,,,MONDO:0015925,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016232,obsolete rare venous malformation,True,,,"MedDRA:10025532 {source=""Orphanet:211252/e"", source=""Orphanet:211252""}",True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016234,obsolete rare arteriovenous malformation,True,MONDO:0001256,arteriovenous hemangioma/malformation,,True,NOT_FOUND,map_for_rag_and_relaxed_eval_keep_original_for_exact_eval,expand retrieval with replaced_by MONDO while retaining original v59 ID,keep original v59 MONDO ID for exact evaluation,count replacement hit only in separately reported relaxed evaluation,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016343,obsolete unclassified cardiomyopathy,True,,,MONDO:0004994,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016363,obsolete rare hereditary hemochromatosis,True,MONDO:0006507,hereditary hemochromatosis,,True,NOT_FOUND,map_for_rag_and_relaxed_eval_keep_original_for_exact_eval,expand retrieval with replaced_by MONDO while retaining original v59 ID,keep original v59 MONDO ID for exact evaluation,count replacement hit only in separately reported relaxed evaluation,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016428,obsolete multiple sclerosis variant,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016627,obsolete rare hemorrhagic disorder,True,MONDO:0002243,hemorrhagic disease,,True,NOT_FOUND,map_for_rag_and_relaxed_eval_keep_original_for_exact_eval,expand retrieval with replaced_by MONDO while retaining original v59 ID,keep original v59 MONDO ID for exact evaluation,count replacement hit only in separately reported relaxed evaluation,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016629,obsolete hemorrhagic disorder due to a platelet anomaly,True,,,MONDO:0002243,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016665,obsolete unclassified vasculitis,True,,,MONDO:0018882,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016667,obsolete sickle cell disease associated with an other hemoglobin anomaly,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
MONDO:0016721,obsolete pineal tumor of neuroepithelial tissue,True,,,,True,NOT_FOUND,manual_review_keep_original,retain original with warning; do not silently map,keep original v59 MONDO ID for exact evaluation,do not apply relaxed mapping unless curated,MONDO OBO latest,https://github.com/monarch-initiative/mondo/releases/latest/download/mondo.obo,Obsolete/replacement status parsed from latest MONDO OBO downloaded for v2 final audit.
